name,aliases,kcal,protein,fat,carbs,piece_g
картофель,картошка|картофелина,77,2.0,0.4,17.0,150
морковь,морковка,35,1.3,0.1,6.9,80
лук репчатый,лук|луковица,41,1.4,0.0,8.2,100
лук зелёный,зелёный лук|перо лука,19,1.3,0.0,3.5,
свёкла,свекла,42,1.5,0.1,8.8,200
капуста белокочанная,капуста,27,1.8,0.1,4.7,
капуста квашеная,квашеная капуста,19,0.9,0.1,4.3,
капуста цветная,цветная капуста,30,2.5,0.3,4.2,
капуста брокколи,брокколи,34,2.8,0.4,6.6,
огурец,огурцы|огурчик,15,0.8,0.1,2.5,100
помидор,томат|томаты|помидоры,20,1.1,0.2,3.7,120
перец сладкий,болгарский перец|перец болгарский,27,1.3,0.1,5.7,130
перец острый,чили|острый перец,40,2.0,0.2,9.5,15
чеснок,зубчик чеснока|зубчики чеснока,143,6.4,0.5,29.9,5
имбирь,корень имбиря,80,1.8,0.8,15.8,
шпинат,,23,2.9,0.4,2.0,
кабачок,цуккини,24,0.6,0.3,4.6,300
баклажан,,24,1.2,0.1,4.5,250
тыква,,22,1.0,0.1,4.4,
редис,редиска,20,1.2,0.1,3.4,15
редька,,35,1.9,0.2,6.7,
сельдерей,стебель сельдерея,16,0.9,0.1,2.1,
укроп,,38,2.5,0.5,6.3,
петрушка,,49,3.7,0.4,7.6,
базилик,,27,3.2,0.6,2.7,
кинза,кориандр,23,2.1,0.5,3.7,
салат листовой,салат|листья салата|айсберг,15,1.5,0.2,1.8,
руккола,,25,2.6,0.7,2.1,
грибы шампиньоны,шампиньоны|грибы,27,4.3,1.0,0.1,
грибы белые,белые грибы|боровики,34,3.7,1.7,1.1,
кукуруза,,86,3.3,1.2,19.0,
горошек зелёный,зелёный горошек,73,5.0,0.2,13.8,
яблоко,яблоки,52,0.4,0.4,9.8,180
груша,груши,57,0.4,0.3,10.3,170
банан,бананы,89,1.1,0.3,21.8,150
апельсин,,47,0.9,0.2,8.1,200
мандарин,,53,0.8,0.2,7.5,90
лимон,сок лимона,29,1.1,0.3,3.0,110
грейпфрут,,42,0.7,0.2,6.5,250
киви,,61,1.0,0.5,10.3,80
ананас,,50,0.5,0.1,11.5,
клубника,земляника,33,0.7,0.3,7.7,
малина,,52,1.2,0.7,8.3,
черника,,57,1.0,0.7,8.6,
смородина чёрная,чёрная смородина,44,1.0,0.4,7.3,
вишня,,52,0.8,0.5,10.6,
виноград,,69,0.6,0.2,16.0,
изюм,,299,2.9,0.6,79.2,
курага,,241,5.2,0.3,51.0,
финики,,277,1.8,0.2,75.0,5
авокадо,,160,2.0,14.7,8.5,200
оливки,маслины,115,0.8,10.7,6.3,5
рис белый,рис,344,6.7,0.7,78.9,
рис бурый,бурый рис,337,7.5,1.8,72.9,
гречка,гречневая крупа,343,12.6,3.3,62.1,
овсянка,овсяные хлопья|геркулес|овёс,366,11.9,7.2,69.3,
пшено,,348,11.5,3.3,69.3,
перловка,перловая крупа,315,9.3,1.1,66.5,
манка,манная крупа,328,10.3,1.0,67.4,
булгур,,342,12.3,1.3,57.6,
киноа,,368,14.1,6.1,57.2,
макароны,паста|спагетти|вермишель|лапша,338,10.9,1.3,70.5,
чечевица,,295,24.0,1.5,46.3,
горох,горох сухой,298,20.5,2.0,49.5,
фасоль,фасоль красная,309,21.0,2.0,47.0,
нут,турецкий горох,309,19.0,6.0,61.0,
мука пшеничная,мука,342,9.2,1.2,74.9,
мука ржаная,,298,8.9,1.7,61.8,
мука цельнозерновая,,298,11.5,2.2,55.8,
хлеб белый,белый хлеб|батон,266,7.6,3.3,49.0,
хлеб ржаной,ржаной хлеб|чёрный хлеб,165,4.7,0.7,34.7,
хлеб цельнозерновой,цельнозерновой хлеб,228,7.2,1.4,42.4,
сухари,,335,11.2,1.4,72.2,
отруби,овсяные отруби,246,15.0,4.2,37.5,
говядина,говяжье мясо,250,26.0,15.0,0.0,
свинина,свиное мясо,242,27.0,14.0,0.0,
баранина,баранье мясо,294,17.0,21.0,0.0,
телятина,,90,19.7,1.2,0.0,
курица филе,куриная грудка|куриное филе|грудка курицы,165,31.0,3.6,0.0,200
курица бедро,куриное бедро|окорочок,209,19.0,15.0,0.0,150
индейка,индюшатина|филе индейки,189,29.0,7.0,0.0,
утка,утиное мясо,337,18.0,28.0,0.0,
кролик,,156,21.0,8.0,0.0,
фарш говяжий,говяжий фарш,254,17.0,20.0,0.0,
фарш свиной,свиной фарш,263,17.6,21.0,0.0,
фарш куриный,куриный фарш,143,17.4,8.1,0.0,
печень куриная,куриная печень,140,17.0,7.0,1.5,
печень говяжья,говяжья печень,135,17.9,3.7,5.3,
сосиски,сардельки,266,12.0,24.0,1.6,
колбаса варёная,варёная колбаса,257,12.0,23.0,1.5,
ветчина,,278,22.6,20.9,0.0,
бекон,,500,23.0,45.0,0.0,
сёмга,лосось|форель,142,20.0,6.3,0.0,
треска,,82,17.7,0.7,0.0,
минтай,,72,15.9,0.9,0.0,
тунец,,144,23.0,4.6,0.0,
скумбрия,макрель,191,18.0,13.2,0.0,
селёдка,сельдь|селедка,217,16.3,16.7,0.0,
горбуша,,140,20.5,6.5,0.0,
судак,,84,18.4,1.1,0.0,
карп,,112,16.0,5.3,0.0,
кальмар,,86,18.0,2.2,2.0,
креветки,,87,18.3,1.2,0.8,
мидии,,77,11.5,2.0,3.3,
крабовое мясо,крабовые палочки,73,6.0,1.0,10.0,
икра красная,красная икра,250,32.0,15.0,0.0,
молоко 2.5%,молоко,52,2.8,2.5,4.7,
молоко 3.2%,,58,2.9,3.2,4.7,
молоко обезжиренное,молоко 0.5%,34,3.0,0.5,4.9,
кефир 1%,кефир,40,2.8,1.0,4.0,
кефир 2.5%,,53,2.9,2.5,4.0,
сметана 15%,сметана,158,2.6,15.0,3.0,
сметана 20%,,206,2.8,20.0,3.2,
сливки 10%,сливки,118,3.0,10.0,4.0,
сливки 33%,взбитые сливки,322,2.2,33.0,3.0,
творог 5%,творог,121,17.2,5.0,1.8,
творог 9%,,159,16.7,9.0,2.0,
творог обезжиренный,творог 0%,71,16.5,0.6,1.3,
йогурт натуральный,йогурт,60,5.0,3.2,3.5,
ряженка,,54,2.8,2.5,4.2,
сыр твёрдый,сыр|пармезан|чеддер,365,25.0,29.0,0.0,
сыр моцарелла,моцарелла,280,18.0,22.0,2.2,
сыр фета,фета,264,14.0,21.0,4.1,
сыр плавленый,плавленый сыр,323,20.0,27.0,0.0,
сыр творожный,творожный сыр|филадельфия,253,5.0,24.0,4.0,
сливочное масло,масло сливочное|масло,748,0.5,82.5,0.8,
яйцо куриное,яйцо|яйца,157,12.7,11.5,0.7,50
яйцо перепелиное,перепелиное яйцо,158,11.9,13.1,0.6,10
яичный белок,белок,52,11.1,0.0,0.0,30
яичный желток,желток,322,16.2,30.9,1.0,20
подсолнечное масло,растительное масло|масло подсолнечное,884,0.0,99.9,0.0,
оливковое масло,масло оливковое,884,0.0,99.8,0.0,
кокосовое масло,масло кокосовое,899,0.0,99.9,0.0,
маргарин,,743,0.5,82.0,1.0,
сахар,,398,0.0,0.0,99.8,
сахарная пудра,,374,0.0,0.0,99.7,
мёд,мед,304,0.8,0.0,80.3,
шоколад тёмный,тёмный шоколад|горький шоколад,546,6.2,35.4,48.2,
шоколад молочный,молочный шоколад,535,7.6,30.0,57.0,
какао,какао-порошок,228,24.3,15.0,10.2,
